method,regime,n,coverage,width
Naive,falling,751,0.8381206011032909,32.27948760986328
Naive,stable,1336,0.7723481608212147,34.347740173339844
Naive,rising,263,0.7256925583921782,25.424461364746094
CQR,falling,751,0.9980026631158455,87.57659149169922
CQR,stable,1336,0.9806993156544055,89.46786499023438
CQR,rising,263,0.9568169473112439,81.14230346679688
Codebook-CQR,falling,751,0.999429332318813,156.28138732910156
Codebook-CQR,stable,1336,0.9984495295124037,179.75057983398438
Codebook-CQR,rising,263,0.9923954372623575,87.90898132324219
Embed-CQR,falling,751,0.9985733307970325,87.97237396240234
Embed-CQR,stable,1336,0.9834260051325919,91.0924072265625
Embed-CQR,rising,263,0.9581749049429658,80.57288360595703
