method,alpha,nominal,coverage,width
Naive,0.05,0.95,0.8453,38.47
CQR,0.05,0.95,0.992,110.7
Embed-CQR,0.05,0.95,0.9935,113.78
Naive,0.1,0.9,0.7876,32.64
CQR,0.1,0.9,0.9833,88.03
Embed-CQR,0.1,0.9,0.986,89.49
Naive,0.2,0.8,0.6826,25.54
CQR,0.2,0.8,0.9624,67.75
Embed-CQR,0.2,0.8,0.967,69.85
Naive,0.3,0.7,0.591,20.75
CQR,0.3,0.7,0.9392,56.7
Embed-CQR,0.3,0.7,0.9457,58.06
Naive,0.4,0.6,0.4998,16.86
CQR,0.4,0.6,0.9149,48.84
Embed-CQR,0.4,0.6,0.9205,49.55
PID,0.05,0.95,0.9879,175.25
PID,0.1,0.9,0.9782,132.36
PID,0.2,0.8,0.9486,82.4
PID,0.3,0.7,0.9246,64.91
PID,0.4,0.6,0.8897,50.16
Codebook-CQR,0.05,0.95,0.9988,176.73
Codebook-CQR,0.1,0.9,0.9978,158.79
Codebook-CQR,0.2,0.8,0.9926,121.85
Codebook-CQR,0.3,0.7,0.9809,95.51
Codebook-CQR,0.4,0.6,0.9533,73.66
